site_id,"(0,5]","(5,10]","(10,15]","(15,20]","(20,25]","(25,30]","(30,35]","(35,40]",cluster,cluster_label
ACE163,0.584158416,0.207920792,0.123762376,0.054455446,0.01980198,0.00990099,0.0,0.0,3,0–5m dominant
ACE196,0.151898734,0.485232068,0.253164557,0.109704641,0.0,0.0,0.0,0.0,1,10–15m dominant
ACG001,0.901046622,0.030447193,0.012369172,0.037107517,0.011417697,0.005708849,0.00190295,0.0,3,0–5m dominant
ACH006,0.194290976,0.480662983,0.255985267,0.067219153,0.001841621,0.0,0.0,0.0,0,5–10m dominant
ACH007,0.616686114,0.271003501,0.079929988,0.023337223,0.009043174,0.0,0.0,0.0,3,0–5m dominant
ACH008,0.547387606,0.319562576,0.133049818,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
ACH015,0.093117409,0.275978408,0.620782726,0.010121457,0.0,0.0,0.0,0.0,1,10–15m dominant
ACH016,0.527313266,0.448160535,0.023411371,0.001114827,0.0,0.0,0.0,0.0,0,5–10m dominant
ACH023,0.440366972,0.536697248,0.009174312,0.013761468,0.0,0.0,0.0,0.0,0,5–10m dominant
ACH036,0.405096661,0.497363796,0.097539543,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
ACH042,0.104389087,0.59430605,0.289442467,0.00118624,0.0,0.003558719,0.002372479,0.004744958,0,5–10m dominant
ACH044,0.167306216,0.484267076,0.34228703,0.006139678,0.0,0.0,0.0,0.0,0,5–10m dominant
ACH045,0.588235294,0.411764706,0.0,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
ACH054,0.965238982,0.031657356,0.001862197,0.001241465,0.0,0.0,0.0,0.0,3,0–5m dominant
ACH058,0.446775039,0.509176717,0.044048243,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
ACH072,0.53343949,0.461783439,0.003184713,0.0,0.0,0.001592357,0.0,0.0,0,5–10m dominant
ACH090,0.08079020625,0.8079020655,0.093357572,0.0179533794999999,0.0,0.0,0.0,0.0,0,5–10m dominant
ACH092,0.258805513,0.555895865,0.183767228,0.001531394,0.0,0.0,0.0,0.0,0,5–10m dominant
ACH096,0.195555556,0.666666667,0.12,0.008888889,0.008888889,0.0,0.0,0.0,0,5–10m dominant
ACH099,0.943606557,0.037377049,0.019016393,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ACH113,0.146341463,0.235772358,0.609756098,0.008130081,0.0,0.0,0.0,0.0,1,10–15m dominant
ACI020,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ACJ001,0.143176734,0.836689038,0.020134228,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
ACJ007,0.447368421,0.486842105,0.065789474,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
ACJ008,0.083018868,0.386163522,0.51572327,0.01509434,0.0,0.0,0.0,0.0,1,10–15m dominant
ACJ009,0.133093525,0.302158273,0.528776978,0.035971223,0.0,0.0,0.0,0.0,1,10–15m dominant
ACJ015,0.236842105,0.634868421,0.078947368,0.019736842,0.023026316,0.006578947,0.0,0.0,0,5–10m dominant
ACJ017,0.621890547,0.308457711,0.069651741,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ACJ019,0.107594937,0.455696203,0.348101266,0.050632911,0.028481013,0.009493671,0.0,0.0,1,10–15m dominant
ACJ020,0.862275449,0.125748503,0.005988024,0.005988024,0.0,0.0,0.0,0.0,3,0–5m dominant
ACJ026,0.020134228,0.244966443,0.714765101,0.020134228,0.0,0.0,0.0,0.0,1,10–15m dominant
ACL001,0.846883469,0.131436314,0.017615176,0.004065041,0.0,0.0,0.0,0.0,3,0–5m dominant
ACL004,0.998113208,0.001886792,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ACM017,0.428571429,0.207142857,0.207142857,0.064285714,0.064285714,0.028571429,0.0,0.0,4,0–25m mixed structure
